model,epoch,train_loss,val_loss,train_accuracy,val_accuracy,val_macro_f1,val_high_risk_recall,training_time
TFT,30,0.0872612512086028,0.1814778659005947,0.9596904403986415,0.953679161933611,0.8036439913183994,0.46153846153846156,190.6241295337677
TFT,40,0.053211397717316776,0.25421505263024985,0.9781192583931853,0.9535529471159914,0.794714548400262,0.41025641025641024,263.02339148521423
TFT,50,0.028269952790307962,0.3813312225533832,0.9883636768554089,0.9549413101098069,0.807310001972987,0.46153846153846156,332.5092742443085
TimesNet,10,0.12457161499741654,0.08782711206679314,0.9394521463170202,0.9592326139088729,0.8108908368242943,0.4301994301994302,64.63945960998535
TimesNet,20,0.07185636111544207,0.14840534046197087,0.9680697065864929,0.9553199545626656,0.80274888282687,0.45014245014245013,130.13752460479736
TimesNet,30,0.046173682878363556,0.2000748704904922,0.9791771059517844,0.9562034582860027,0.788354304754911,0.35327635327635326,193.93080377578735
TimesNet,40,0.0365788934974896,0.23669209328988192,0.9848839151494906,0.9551937397450461,0.7805199827700697,0.33618233618233617,258.07183265686035
TimesNet,50,0.028836972708867967,0.2781691493179451,0.9883636768554089,0.9568345323741008,0.7812585214704223,0.3247863247863248,318.47085523605347
CNN-LSTM,10,0.130340132708781,0.08953897346698379,0.9364,0.96011611763221,0.7854337084931583,0.31054131054131057,23.356445789337158
CNN-LSTM,20,0.08905426090223942,0.12063786865592985,0.9626,0.9587277546383945,0.8082401384417602,0.42450142450142453,45.76855945587158
CNN-LSTM,30,0.050280318816444534,0.17499843302002122,0.9804,0.9580966805502966,0.794999916815876,0.37037037037037035,67.41213297843933
CNN-LSTM,40,0.027775887437862343,0.20525302724099365,0.9918,0.9564558879212419,0.8078322744918925,0.46153846153846156,89.72038745880127
CNN-LSTM,50,0.0198599166826502,0.24003777250518918,0.993,0.9569607471917203,0.8084622312719868,0.452991452991453,111.52433753013611
GRU,10,0.13704249341043515,0.08226485206638817,0.9332,0.9597374731793512,0.7807868385739636,0.2934472934472934,30.28127884864807
GRU,20,0.07038980842136827,0.12388473107726737,0.9712,0.9598636879969709,0.8080000599147522,0.41025641025641024,60.94995379447937
GRU,30,0.013460512375453834,0.2208463103523612,0.9962,0.9582228953679162,0.8127186430186195,0.45584045584045585,91.26052069664001
GRU,40,0.005582391485339977,0.29022326214823774,0.9984,0.9572131768269595,0.79754198875454,0.39316239316239315,119.78666710853577
GRU,50,0.0017350503761066327,0.30676773148742154,0.9998,0.9584753250031554,0.8110515617731217,0.45014245014245013,149.8517987728119
